,subj_idx,response,split_by,rt,trial,feedback,samp
103,42,1.0,1,0.7686160206794739,44,1.0,1
104,42,0.0,1,0.5726170539855957,45,1.0,1
105,42,1.0,1,0.8906144499778748,46,0.0,1
106,42,1.0,1,1.3916079998016357,47,1.0,1
107,42,1.0,1,0.5926170945167542,48,1.0,1
108,42,1.0,1,1.3646084070205688,49,1.0,1
109,42,0.0,1,0.5676170587539673,50,0.0,1
110,42,1.0,1,0.586617112159729,51,1.0,1
111,42,0.0,1,0.5586170554161072,52,0.0,1
112,42,1.0,1,0.8116154670715332,53,0.0,1
113,42,0.0,1,0.8136154413223267,54,0.0,1
114,42,1.0,1,0.9706134796142578,55,0.0,1
115,42,1.0,1,0.8266152739524841,56,1.0,1
116,42,1.0,1,0.4786168932914734,57,1.0,1
117,42,1.0,1,0.5476170182228088,58,1.0,1
118,42,0.0,1,0.6756172180175781,59,0.0,1
119,42,0.0,1,1.3066091537475586,60,0.0,1
120,42,0.0,2,2.0746381282806396,1,1.0,1
121,42,0.0,2,0.8266152739524841,2,0.0,1
122,42,1.0,2,0.6196171641349792,3,1.0,1
123,42,0.0,2,2.0006346702575684,4,1.0,1
124,42,1.0,2,1.073612093925476,5,0.0,1
125,42,1.0,2,2.0286359786987305,6,0.0,1
126,42,0.0,2,0.6776171922683716,7,1.0,1
127,42,0.0,2,0.9576135873794556,8,1.0,1
128,42,0.0,2,0.9836132526397705,9,1.0,1
129,42,0.0,2,1.5836151838302612,10,1.0,1
130,42,1.0,2,0.6496171951293945,11,1.0,1
131,42,1.0,2,0.6166171431541443,12,1.0,1
132,42,0.0,2,2.6526377201080322,13,0.0,1
133,42,0.0,2,1.028612732887268,14,0.0,1
134,42,0.0,2,0.6166171431541443,15,0.0,1
135,42,0.0,2,1.0536123514175415,16,0.0,1
136,42,1.0,2,1.6146166324615479,17,0.0,1
137,42,1.0,2,1.264609694480896,18,0.0,1
138,42,1.0,2,1.777624249458313,19,0.0,1
139,42,1.0,2,0.5876170992851257,20,0.0,1
140,42,1.0,2,1.8786289691925049,21,0.0,1
141,42,1.0,2,1.6136165857315063,22,0.0,1
142,42,0.0,2,1.8526277542114258,23,0.0,1
143,42,0.0,2,0.8496149778366089,24,0.0,1
144,42,1.0,2,0.5456169843673706,25,1.0,1
145,42,1.0,2,1.8506276607513428,26,0.0,1
146,42,0.0,2,0.8796145915985107,27,0.0,1
147,42,1.0,2,0.6636172533035278,28,1.0,1
148,42,0.0,2,0.5656170845031738,29,0.0,1
149,42,0.0,2,0.7256165742874146,30,1.0,1
